Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 32.65      1.43     1.43        1     1.43     4.38  kosaraju(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
 24.66      2.51     1.08 1600020000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 18.26      3.31     0.80 1600020000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 10.05      3.75     0.44        2     0.22     0.49  DFS2(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&, int)
  9.82      4.18     0.43        2     0.21     0.48  DFS1(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::deque<int, std::allocator<int> >&, int)
  4.57      4.38     0.20   119998     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      4.38     0.00   120004     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      4.38     0.00   120000     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      4.38     0.00   119999     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      4.38     0.00   119999     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      4.38     0.00   119999     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      4.38     0.00   119999     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      4.38     0.00   119998     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      4.38     0.00   119998     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      4.38     0.00   119998     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      4.38     0.00    80173     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      4.38     0.00    80040     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      4.38     0.00    80009     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      4.38     0.00    80009     0.00     0.00  std::allocator<int>::~allocator()
  0.00      4.38     0.00    80004     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      4.38     0.00    80004     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      4.38     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      4.38     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      4.38     0.00    80000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      4.38     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.38     0.00    80000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      4.38     0.00    80000     0.00     0.00  operator new(unsigned long, void*)
  0.00      4.38     0.00    79998     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      4.38     0.00    40368     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      4.38     0.00    40176     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      4.38     0.00    40176     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      4.38     0.00    40176     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      4.38     0.00    40176     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      4.38     0.00    40102     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      4.38     0.00    40072     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      4.38     0.00    40068     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      4.38     0.00    40034     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      4.38     0.00    40021     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      4.38     0.00    40019     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      4.38     0.00    40004     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      4.38     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      4.38     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      4.38     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      4.38     0.00    40004     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      4.38     0.00    40004     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      4.38     0.00    40004     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      4.38     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      4.38     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      4.38     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      4.38     0.00    40000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      4.38     0.00    40000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      4.38     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      4.38     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
