Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.98      1.02     1.02        1     1.02     3.78  kosaraju(int, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&)
 24.60      1.95     0.93 1600020000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 23.28      2.83     0.88 1600020000     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
 13.49      3.34     0.51        2     0.26     0.48  DFS2(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&, int)
 11.11      3.76     0.42        2     0.21     0.45  DFS1(int, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, std::vector<bool, std::allocator<bool> >&, std::__cxx11::list<int, std::allocator<int> >&, int)
  0.53      3.78     0.02    20000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_front(int const&)
  0.00      3.78     0.00   120017     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      3.78     0.00   120004     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      3.78     0.00   120000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      3.78     0.00   120000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      3.78     0.00   120000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      3.78     0.00   120000     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      3.78     0.00   120000     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.78     0.00   119999     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      3.78     0.00   119999     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      3.78     0.00   119999     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      3.78     0.00   119999     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      3.78     0.00   119998     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      3.78     0.00   119998     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      3.78     0.00   119998     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      3.78     0.00   119998     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      3.78     0.00    80040     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.78     0.00    80008     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      3.78     0.00    80008     0.00     0.00  std::allocator<int>::~allocator()
  0.00      3.78     0.00    80004     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      3.78     0.00    80004     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      3.78     0.00    80002     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      3.78     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      3.78     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.78     0.00    80000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      3.78     0.00    80000     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.78     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.78     0.00    80000     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.78     0.00    80000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      3.78     0.00    79998     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      3.78     0.00    60001     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      3.78     0.00    40102     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      3.78     0.00    40072     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.78     0.00    40068     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.78     0.00    40055     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      3.78     0.00    40034     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.78     0.00    40021     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.78     0.00    40019     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.78     0.00    40019     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.78     0.00    40019     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.78     0.00    40019     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      3.78     0.00    40019     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      3.78     0.00    40004     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.78     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.78     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.78     0.00    40004     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.78     0.00    40004     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      3.78     0.00    40004     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.78     0.00    40004     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      3.78     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      3.78     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      3.78     0.00    40002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      3.78     0.00    40001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      3.78     0.00    40001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      3.78     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      3.78     0.00    40000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      3.78     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      3.78     0.00    40000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      3.78     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      3.78     0.00    40000     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      3.78     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      3.78     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      3.78     0.00    40000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      3.78     0.00    40000     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      3.78     0.00    40000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      3.78     0.00    40000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      3.78     0.00    40000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      3.78     0.00    40000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      3.78     0.00    40000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      3.78     0.00    40000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      3.78     0.00    40000     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.78     0.00    40000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      3.78     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      3.78     0.00    40000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_node()
  0.00      3.78     0.00    40000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.00      3.78     0.00    40000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.00      3.78     0.00    40000     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      3.78     0.00    40000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >* std::__addressof<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >&)
  0.00      3.78     0.00    40000     0.00     0.00  std::allocator<std::_List_node<int> >* std::__addressof<std::allocator<std::_List_node<int> > >(std::allocator<std::_List_node<int> >&)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      3.78     0.00    40000     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.78     0.00    40000     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      3.78     0.00    40000     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      3.78     0.00    20002     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      3.78     0.00    20001     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      3.78     0.00    20001     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      3.78     0.00    20001     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      3.78     0.00    20001     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_List_base()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::list()
  0.00      3.78     0.00    20001     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::~list()
  0.00      3.78     0.00    20001     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      3.78     0.00    20001     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      3.78     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      3.78     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int>(int*, int&&)
  0.00      3.78     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      3.78     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      3.78     0.00    20000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      3.78     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int>(std::allocator<std::_List_node<int> >&, int*, int&&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      3.78     0.00    20000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      3.78     0.00    20000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      3.78     0.00    20000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int>(int&&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int const&>(std::_List_iterator<int>, int const&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::__cxx11::list<int, std::allocator<int> >::_M_insert<int>(std::_List_iterator<int>, int&&)
  0.00      3.78     0.00    20000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::push_back(int&&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::_Construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      3.78     0.00    20000     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      3.78     0.00    20000     0.00     0.00  void std::_Destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      3.78     0.00       39     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.78     0.00       38     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      3.78     0.00       36     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      3.78     0.00       36     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      3.78     0.00       36     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      3.78     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      3.78     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      3.78     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      3.78     0.00       34     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      3.78     0.00       34     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      3.78     0.00       19     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      3.78     0.00       19     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      3.78     0.00       17     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      3.78     0.00       17     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      3.78     0.00       17     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
